[2021-04-27 16:00:44.866506]	Запуск потока: Защитник 
[2021-04-27 16:00:44.928507]	Загадано число: 1244197076 
[2021-04-27 16:00:45.662507]	Принято подключение: ('25.90.155.199', 52837) 
[2021-04-27 16:00:46.663529]	Получены данные b'\x00\x00\x00@' 
[2021-04-27 16:00:46.663529]	Получено число: 1073741824 
[2021-04-27 16:00:47.683506]	Получены данные b'\x00\x00\x00@' 
[2021-04-27 16:00:47.684507]	Получено число: 1073741824 
[2021-04-27 16:00:48.705508]	Получены данные b'\x02\x00\x00@' 
[2021-04-27 16:00:48.706508]	Получено число: 1073741826 
[2021-04-27 16:00:49.730527]	Получены данные b'\xfe\xff\xff?' 
[2021-04-27 16:00:49.731524]	Получено число: 1073741822 
[2021-04-27 16:00:50.752512]	Получены данные b'\x04\x00\x00@' 
[2021-04-27 16:00:50.753508]	Получено число: 1073741828 
[2021-04-27 16:07:45.796229]	Запуск потока: Защитник 
[2021-04-27 16:07:45.857187]	Загадано число: 173517573 
[2021-04-27 16:07:46.806186]	Принято подключение: ('25.90.155.199', 52900) 
[2021-04-27 16:07:47.816187]	Получены данные b'\x00\x00\x00@' 
[2021-04-27 16:07:47.817187]	Получено число: 1073741824 
[2021-04-27 16:07:48.839188]	Получены данные b'\x00\x00\x00@' 
[2021-04-27 16:07:48.839188]	Получено число: 1073741824 
[2021-04-27 16:07:49.876192]	Получены данные b'\x02\x00\x00@' 
[2021-04-27 16:07:49.877187]	Получено число: 1073741826 
[2021-04-27 16:07:50.900192]	Получены данные b'\xfe\xff\xff?' 
[2021-04-27 16:07:50.901188]	Получено число: 1073741822 
[2021-04-27 16:07:51.928188]	Получены данные b'\xff\xff\xff\x1f' 
[2021-04-27 16:07:51.928188]	Получено число: 536870911 
[2021-04-27 16:07:52.952186]	Получены данные b'\xff\xff\xff\x1f' 
[2021-04-27 16:07:52.952186]	Получено число: 536870911 
[2021-04-27 16:07:53.964186]	Получены данные b'\x01\x00\x00 ' 
[2021-04-27 16:07:53.965187]	Получено число: 536870913 
[2021-04-27 16:07:54.980231]	Получены данные b'\xfd\xff\xff\x1f' 
[2021-04-27 16:07:54.980231]	Получено число: 536870909 
[2021-04-27 16:07:56.012186]	Получены данные b'\x03\x00\x00 ' 
[2021-04-27 16:07:56.012186]	Получено число: 536870915 
[2021-04-27 16:07:57.041187]	Получены данные b'\xfb\xff\xff\x1f' 
[2021-04-27 16:07:57.041187]	Получено число: 536870907 
[2021-04-27 16:07:58.050187]	Получены данные b'\x05\x00\x00 ' 
[2021-04-27 16:07:58.051188]	Получено число: 536870917 
[2021-04-27 16:07:59.068187]	Получены данные b'\xf9\xff\xff\x1f' 
[2021-04-27 16:07:59.069187]	Получено число: 536870905 
[2021-04-27 16:08:00.095187]	Получены данные b'\x07\x00\x00 ' 
[2021-04-27 16:08:00.095187]	Получено число: 536870919 
[2021-04-27 16:08:01.128186]	Получены данные b'\xf7\xff\xff\x1f' 
[2021-04-27 16:08:01.129187]	Получено число: 536870903 
[2021-04-27 16:08:02.144186]	Получены данные b'\xfb\xff\xff\x0f' 
[2021-04-27 16:08:02.145186]	Получено число: 268435451 
[2021-04-27 16:08:03.173187]	Получены данные b'\xfb\xff\xff\x0f' 
[2021-04-27 16:08:03.174187]	Получено число: 268435451 
[2021-04-27 16:08:04.192265]	Получены данные b'\xfd\xff\xff\x07' 
[2021-04-27 16:08:04.193187]	Получено число: 134217725 
[2021-04-27 16:08:05.218192]	Получены данные b'\xfd\xff\xff\x07' 
[2021-04-27 16:08:05.219187]	Получено число: 134217725 
