[2021-04-18 17:28:58.556805]	Запуск основного потока 
[2021-04-18 17:28:58.559792]	Запрос регистрации 
[2021-04-18 17:28:58.573805]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:28:58.844791]	Запрос регистрации 
[2021-04-18 17:28:58.845815]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:28:58.845815]	Запрос внешнего адреса 
[2021-04-18 17:28:58.846792]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:28:59.111797]	Запрос регистрации 
[2021-04-18 17:28:59.112827]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:28:59.113793]	Запрос внешнего адреса 
[2021-04-18 17:28:59.113793]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:28:59.379572]	Запрос регистрации 
[2021-04-18 17:28:59.379572]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:28:59.380568]	Запрос внешнего адреса 
[2021-04-18 17:28:59.381568]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:28:59.648582]	Запрос регистрации 
[2021-04-18 17:28:59.649568]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:28:59.650568]	Запрос внешнего адреса 
[2021-04-18 17:28:59.651568]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:28:59.916568]	Запрос регистрации 
[2021-04-18 17:28:59.916568]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:28:59.917599]	Запрос внешнего адреса 
[2021-04-18 17:28:59.918568]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:00.168568]	Запрос регистрации 
[2021-04-18 17:29:00.169568]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:00.169568]	Запрос внешнего адреса 
[2021-04-18 17:29:00.170569]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:00.436640]	Запрос регистрации 
[2021-04-18 17:29:00.437592]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:00.438585]	Запрос внешнего адреса 
[2021-04-18 17:29:00.439568]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:00.690637]	Запрос регистрации 
[2021-04-18 17:29:00.691568]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:00.692568]	Запрос внешнего адреса 
[2021-04-18 17:29:00.693569]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:00.954637]	Запрос регистрации 
[2021-04-18 17:29:00.955568]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:00.955568]	Запрос внешнего адреса 
[2021-04-18 17:29:00.956572]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:01.207638]	Запрос регистрации 
[2021-04-18 17:29:01.208568]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:01.208568]	Запрос внешнего адреса 
[2021-04-18 17:29:01.209568]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:01.474272]	Запрос регистрации 
[2021-04-18 17:29:01.475272]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:01.476272]	Запрос внешнего адреса 
[2021-04-18 17:29:01.477272]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:01.742248]	Запрос регистрации 
[2021-04-18 17:29:01.743177]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:01.743177]	Запрос внешнего адреса 
[2021-04-18 17:29:01.744177]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:01.999224]	Запрос регистрации 
[2021-04-18 17:29:02.000177]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:02.001216]	Запрос внешнего адреса 
[2021-04-18 17:29:02.001216]	Отправка запроса к главному серверу: bytearray(b'\x06') 
[2021-04-18 17:29:02.264332]	Запрос регистрации 
[2021-04-18 17:29:02.265374]	Отправка запроса к главному серверу: bytearray(b'\x00valid cd\\\x11Kruglov Igor') 
[2021-04-18 17:29:02.266329]	Запрос внешнего адреса 
[2021-04-18 17:29:02.267399]	Отправка запроса к главному серверу: bytearray(b'\x06') 
